ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,score,signal,why
FWRD,13.4,2.45,-2.69,0.12,84.5,4.82,2.69,34,🚀 BUY ZONE,"price range, early weekly move, controlled day move, above 20SMA, tight 5-day range, near breakout high"
WEN,7.95,27.08,17.5,9.49,66.0,28.93,0.0,30,👀 PRE-BREAKOUT,"price range, healthy RSI, above 20SMA, volume accumulation, near breakout high, today volume spike"
RZLV,2.61,0.97,-0.57,0.3,51.7,5.43,12.58,26,🟢 WATCH,"price range, early weekly move, controlled day move, healthy RSI, tight 5-day range"
TENX,13.69,0.33,20.79,0.3,80.3,15.29,0.0,21,🟢 WATCH,"price range, controlled day move, above 20SMA, near breakout high"
ONEG,1.63,4.49,7.95,0.06,74.2,25.0,16.41,12,🔴 PASS,"price range, early weekly move, above 20SMA"
GPRO,0.71,-1.15,-10.03,0.39,11.7,12.55,43.52,6,🔴 PASS,controlled day move
URG,1.38,-2.48,-16.16,0.26,23.2,12.73,34.52,3,🔴 PASS,price range
RDW,11.65,-4.66,-13.7,0.2,31.6,23.26,55.02,3,🔴 PASS,price range
DGXX,6.06,-9.82,-9.96,0.38,35.2,11.39,25.28,3,🔴 PASS,price range
